"서울시 기준일","서울시 확진자","서울시 추가 확진","서울시 치료중","서울시 퇴원","서울시 추가 퇴원","서울시 사망","서울시 의심환자 전체","서울시 의심환자 검사중","서울시 의심환자 검사결과(음성)","전국 기준일","전국 확진","전국 추가 확진","전국 치료중","전국 퇴원","전국 사망","전국 의심환자 전체","전국 의심환자 검사중","전국 의심환자 검사결과(음성)","자가격리자 해외입국자 감시중","자가격리자 해외입국자 감시해제","자가격리자 접촉자 감시중","자가격리자 접촉자 감시해제","확인중 확진자","서울시 당일사망자","전국 당일 사망자"
"2022.12.31.00","5663251","11601","0","","","6062","","","","2022.12.31.00","29059273","63104","0","","32156","","","","","","","","0","5","61"
"2022.12.30.00","5651699","11668","0","","","6057","","","","2022.12.30.00","28996347","65207","0","","32095","","","","","","","","0","8","68"
"2022.12.29.00","5640031","13396","0","","","6049","","","","2022.12.29.00","28931140","71427","0","","32027","","","","","","","","0","13","76"
"2022.12.28.00","5626635","15783","0","","","6036","","","","2022.12.28.00","28859713","87517","0","","31951","","","","","","","","0","10","69"
"2022.12.27.00","5610852","18725","0","","","6026","","","","2022.12.27.00","28772196","87596","0","","31882","","","","","","","","0","3","50"
"2022.12.26.00","5592127","3585","0","","","6023","","","","2022.12.26.00","28684600","25478","0","","31832","","","","","","","","0","8","42"
"2022.12.25.00","5588542","10508","0","","","6015","","","","2022.12.25.00","28659055","58448","0","","31790","","","","","","","","0","5","46"
"2022.12.24.00","5578034","12083","0","","","6010","","","","2022.12.24.00","28600607","66211","0","","31744","","","","","","","","0","11","70"
"2022.12.23.00","5566002","12414","0","","","5999","","","","2022.12.23.00","28534558","68168","0","","31674","","","","","","","","0","8","63"
"2022.12.22.00","5553588","13946","0","","","5991","","","","2022.12.22.00","28466390","75744","0","","31611","","","","","","","","0","10","62"
"2022.12.21.00","5539642","15564","0","","","5981","","","","2022.12.21.00","28390646","88172","0","","31549","","","","","","","","0","10","59"
"2022.12.20.00","5524078","18223","0","","","5971","","","","2022.12.20.00","28302474","87559","0","","31490","","","","","","","","0","12","56"
"2022.12.19.00","5505855","4191","0","","","5959","","","","2022.12.19.00","28214915","26622","0","","31434","","","","","","","","0","9","39"
"2022.12.18.00","5501664","10649","0","","","5950","","","","2022.12.18.00","28188293","58862","0","","31395","","","","","","","","0","9","42"
"2022.12.17.00","5491015","12404","0","","","5941","","","","2022.12.17.00","28129431","66930","0","","31353","","","","","","","","0","9","55"
"2022.12.16.00","5478664","12402","0","","","5932","","","","2022.12.16.00","28062679","66953","0","","31298","","","","","","","","0","8","66"
"2022.12.15.00","5466262","12830","0","","","5924","","","","2022.12.15.00","27995726","70154","0","","31232","","","","","","","","0","9","58"
"2022.12.14.00","5453432","15180","0","","","5915","","","","2022.12.14.00","27925572","84571","0","","31174","","","","","","","","0","7","46"
"2022.12.13.00","5438252","17696","0","","","5908","","","","2022.12.13.00","27841001","86852","0","","31128","","","","","","","","0","3","29"
"2022.12.12.00","5420556","3910","0","","","5905","","","","2022.12.12.00","27754149","25667","0","","31099","","","","","","","","0","3","30"
"2022.12.11.00","5416646","9603","0","","","5902","","","","2022.12.11.00","27728482","54319","0","","31069","","","","","","","","0","3","40"
"2022.12.10.00","5407043","11690","0","","","5899","","","","2022.12.10.00","27674163","62738","0","","31029","","","","","","","","0","8","54"
"2022.12.09.00","5395385","11853","0","","","5891","","","","2022.12.09.00","27611555","62734","0","","30975","","","","","","","","0","10","67"
"2022.12.08.00","53838532","11977","0","","","5881","","","","2022.12.08.00","27548821","65253","0","","30908","","","","","","","","0","9","61"
"2022.12.07.00","5371555","13747","0","","","5872","","","","2022.12.07.00","27483568","74714","0","","30847","","","","","","","","0","7","54"
"2022.12.06.00","5357808","16372","0","","","5865","","","","2022.12.06.00","27408854","77604","0","","30793","","","","","","","","0","7","24"
"2022.12.05.00","5341436","3921","0","","","5858","","","","2022.12.05.00","27331250","23160","0","","30769","","","","","","","","0","11","40"
"2022.12.04.00","5337515","8526","0","","","5847","","","","2022.12.04.00","27308090","46564","0","","30729","","","","","","","","0","7","60"
"2022.12.03.00","5328989","10369","0","","","5840","","","","2022.12.03.00","27261526","52861","0","","30669","","","","","","","","0","11","48"
"2022.12.02.00","5318646","10487","0","","","5829","","","","2022.12.02.00","27208800","52987","0","","30621","","","","","","","","0","5","53"
"2022.12.01.00","5308159","11034","0","","","5824","","","","2022.12.01.00","27155813","57079","0","","30568","","","","","","","","0","17","62"
"2022.11.30.00","5297125","12290","0","","","5807","","","","2022.11.30.00","27098734","67415","0","","30506","","","","","","","","0","11","52"
"2022.11.29.00","5284835","15501","0","","","5796","","","","2022.11.29.00","27031319","71476","0","","30454","","","","","","","","0","4","41"
"2022.11.28.00","5269334","3794","0","","","5792","","","","2022.11.28.00","26959843","22327","0","","30413","","","","","","","","0","13","44"
"2022.11.27.00","5265540","9160","0","","","5779","","","","2022.11.27.00","26937516","47028","0","","30369","","","","","","","","0","9","39"
"2022.11.26.00","5256380","10161","0","","","5770","","","","2022.11.26.00","26890488","52788","0","","30330","","","","","","","","0","5","52"
"2022.11.25.00","5246245","10684","0","","","5765","","","","2022.11.25.00","26837840","53698","0","","30278","","","","","","","","0","9","55"
"2022.11.24.00","5235561","11456","0","","","5756","","","","2022.11.24.00","26784142","59089","0","","30223","","","","","","","","0","14","59"
"2022.11.23.00","5224105","13499","0","","","5742","","","","2022.11.23.00","26725053","70324","0","","30164","","","","","","","","0","8","53"
"2022.11.22.00","5210606","15613","0","","","5734","","","","2022.11.22.00","26654729","72873","0","","30111","","","","","","","","0","11","45"
"2022.11.21.00","5194993","3826","0","","","5723","","","","2022.11.21.00","26581856","23091","0","","30066","","","","","","","","0","3","35"
"2022.11.20.00","5191167","8804","0","","","5720","","","","2022.11.20.00","26558765","46011","0","","30031","","","","","","","","0","5","41"
"2022.11.19.00","5182363","10124","0","","","5715","","","","2022.11.19.00","26512754","50589","0","","29990","","","","","","","","0","10","65"
"2022.11.18.00","5172272","9742","0","","","5705","","","","2022.11.18.00","26462319","49418","0","","29925","","","","","","","","0","12","63"
"2022.11.17.00","5162530","10846","0","","","5693","","","","2022.11.17.00","26412901","55437","0","","29862","","","","","","","","0","14","67"
"2022.11.16.00","5151684","12483","0","","","5679","","","","2022.11.16.00","26357464","66587","0","","29795","","","","","","","","0","10","47"
"2022.11.15.00","5139201","15539","0","","","5669","","","","2022.11.15.00","26290877","72883","0","","29748","","","","","","","","0","4","39"
"2022.11.14.00","5123662","3649","0","","","5665","","","","2022.11.14.00","26217994","23765","0","","29709","","","","","","","","0","5","44"
"2022.11.13.00","5120013","9263","0","","","5660","","","","2022.11.13.00","26194229","48465","0","","29665","","","","","","","","0","5","48"
"2022.11.12.00","5110750","10836","0","","","5655","","","","2022.11.12.00","26145764","54328","0","","29617","","","","","","","","0","12","46"
"2022.11.11.00","5099934","10903","0","","","5643","","","","2022.11.11.00","26091539","54519","0","","29571","","","","","","","","0","0","40"
"2022.11.10.00","5089031","11073","0","","","5643","","","","2022.11.10.00","26037020","55365","0","","29531","","","","","","","","0","6","52"
"2022.11.09.00","5077958","12481","0","","","5637","","","","2022.11.09.00","25981655","62472","0","","29479","","","","","","","","0","8","59"
"2022.11.08.00","5065477","14158","0","","","5629","","","","2022.11.08.00","25919183","62273","0","","29420","","","","","","","","0","3","30"
"2022.11.07.00","5051319","3320","0","","","5626","","","","2022.11.07.00","25856910","18671","0","","29390","","","","","","","","0","0","18"
"2022.11.06.00","5047999","7163","0","","","5626","","","","2022.11.06.00","25838239","36675","0","","29372","","","","","","","","0","3","18"
"2022.11.05.00","5040836","8104","0","","","5624","","","","2022.11.05.00","25801564","40903","0","","29354","","","","","","","","0","2","41"
"2022.11.04.00","5032737","8677","0","","","5622","","","","2022.11.04.00","25760701","43449","0","","29315","","","","","","","","0","5","35"
"2022.11.03.00","5024068","9547","0","","","5617","","","","2022.11.03.00","25717277","46896","0","","29280","","","","","","","","0","5","41"
"2022.11.02.00","5014526","10940","0","","","5612","","","","2022.11.02.00","25670407","54766","0","","29239","","","","","","","","0","4","30"
"2022.11.01.00","5003593","13017","0","","","5608","","","","2022.11.01.00","25615667","58379","0","","29209","","","","","","","","0","5","33"
"2022.10.31.00","4990582","3099","0","","","5603","","","","2022.10.31.00","25557309","18510","0","","29176","","","","","","","","0","5","18"
"2022.10.30.00","4987483","6708","0","","","5598","","","","2022.10.30.00","25538799","34511","0","","29158","","","","","","","","0","1","27"
"2022.10.29.00","4980775","7578","0","","","5597","","","","2022.10.29.00","25504288","37321","0","","29131","","","","","","","","0","3","31"
"2022.10.28.00","4973197","7480","0","","","5594","","","","2022.10.28.00","25466992","35924","0","","29100","","","","","","","","0","4","31"
"2022.10.27.00","4965729","6848","0","","","5590","","","","2022.10.27.00","25431105","34987","0","","29069","","","","","","","","0","3","26"
"2022.10.26.00","4958897","7906","0","","","5587","","","","2022.10.26.00","25396155","40842","0","","29043","","","","","","","","0","5","26"
"2022.10.25.00","4951008","10066","0","","","5582","","","","2022.10.25.00","25355350","43759","0","","29017","","","","","","","","0","5","17"
"2022.10.24.00","4940956","2438","0","","","5577","","","","2022.10.24.00","25311636","14302","0","","29000","","","","","","","","0","1","10"
"2022.10.23.00","4938518","5176","0","","","5576","","","","2022.10.23.00","25297334","26256","0","","28990","","","","","","","","0","1","16"
"2022.10.22.00","4933342","6016","0","","","5575","","","","2022.10.22.00","25271078","26906","0","","28974","","","","","","","","0","3","22"
"2022.10.21.00","4927337","5061","0","","","5572","","","","2022.10.21.00","25244255","24751","0","","28952","","","","","","","","0","3","30"
"2022.10.20.00","4922285","5416","0","","","5569","","","","2022.10.20.00","25219546","25431","0","","28922","","","","","","","","0","2","23"
"2022.10.19.00","4916878","5897","0","","","5567","","","","2022.10.19.00","25194177","29503","0","","28899","","","","","","","","0","6","43"
"2022.10.18.00","4910983","7531","0","","","5561","","","","2022.10.18.00","25164695","33248","0","","28856","","","","","","","","0","1","6"
"2022.10.17.00","4903463","1921","0","","","5560","","","","2022.10.17.00","25131505","11040","0","","28851","","","","","","","","0","2","11"
"2022.10.16.00","4901542","4191","0","","","5558","","","","2022.10.16.00","25120.465","21469","0","","28840","","","","","","","","0","4","32"
"2022.10.15.00","4897351","4579","0","","","5554","","","","2022.10.15.00","25098996","22844","0","","28808","","","","","","","","0","5","25"
"2022.10.14.00","4892777","4834","0","","","5549","","","","2022.10.14.00","25076239","23583","0","","28783","","","","","","","","0","9","35"
"2022.10.13.00","4887950","5254","0","","","5540","","","","2022.10.13.00","25052677","26957","0","","28748","","","","","","","","0","0","25"
